,pc_1,pc_2,pc_3,target,size,name
0,38.78022421754734,-64.528927331645,17.613102154950052,1.0,0.022935779816513763,1
1,-0.12327814026711865,-10.635026243331085,-9.38131661337088,2.0,0.013761467889908258,2
2,-4.765311067317205,4.221674449737054,0.882471397567592,3.0,0.8669724770642202,3
3,0.3404008190557673,-7.389664397020044,-8.508581917678406,4.0,0.013761467889908258,4
4,3.974216744214918,-20.838480206905473,-18.414970707325438,5.0,0.0045871559633027525,5
5,6.307071418387821,-23.39199457802243,-16.187591075267466,6.0,0.0045871559633027525,6
6,24.409577793798963,-53.66242278780949,-7.02808646253244,7.0,0.009174311926605505,7
7,13.439406088901698,-38.27806585794222,-19.319680167580987,8.0,0.03669724770642202,8
8,8.282706958396739,-30.6883623396327,-22.713826956965192,9.0,0.0045871559633027525,9
9,19.908286789779527,-48.22684125428052,-13.675948867214002,10.0,0.0045871559633027525,10
10,55.34357057071953,-64.58829159128109,46.634238965430455,11.0,0.0045871559633027525,11
11,165.24720152295603,73.54246158163821,-20.019615479487015,12.0,0.0045871559633027525,12
12,161.21812671429024,70.65990643816863,-10.136197379322821,13.0,0.0045871559633027525,13
13,129.47571758129322,35.90321196844722,21.944616443986956,14.0,0.0045871559633027525,14
